Tipo_Producto,Ingresos,Gastos,Cod_Pais,Continente,Pais,Trimestre,Anio
Accesorios,66319.7,56708.15,AGO,África,Angola,T1,2019
Aplicaciones,122357.28,77039.77,AGO,África,Angola,T1,2019
Celulares,265278.82,215226.21,AGO,África,Angola,T1,2019
Musica,130447.02,86964.68,AGO,África,Angola,T1,2019
PC,394602.24,326567.37,AGO,África,Angola,T1,2019
Tablets,81152.13,69217.99,AGO,África,Angola,T1,2019
TV,44777.56,28193.28,AGO,África,Angola,T1,2019
Accesorios,88128.95,73914.61,ARG,América,Argentina,T1,2019
Aplicaciones,135405.13,73857.34,ARG,América,Argentina,T1,2019
Celulares,464439.59,417526.5,ARG,América,Argentina,T1,2019
Musica,232219.8,146212.46,ARG,América,Argentina,T1,2019
PC,566389.74,493775.67,ARG,América,Argentina,T1,2019
Tablets,152275.28,131971.91,ARG,América,Argentina,T1,2019
TV,62932.19,35570.37,ARG,América,Argentina,T1,2019
Accesorios,54365.02,39867.68,AUS,Oceanía,Australia,T1,2019
Aplicaciones,87845.92,43124.36,AUS,Oceanía,Australia,T1,2019
Celulares,246268.91,197809.55,AUS,Oceanía,Australia,T1,2019
Musica,114794.67,65050.31,AUS,Oceanía,Australia,T1,2019
PC,313189.82,252509.29,AUS,Oceanía,Australia,T1,2019
Tablets,92647.79,70749.22,AUS,Oceanía,Australia,T1,2019
TV,36987.76,19973.39,AUS,Oceanía,Australia,T1,2019
Accesorios,21115.4,18300.01,AUT,Europa,Austria,T1,2019
Aplicaciones,31740.78,17940.44,AUT,Europa,Austria,T1,2019
Celulares,71761.75,61510.07,AUT,Europa,Austria,T1,2019
Musica,47157.72,27508.67,AUT,Europa,Austria,T1,2019
PC,125355.97,108183.92,AUT,Europa,Austria,T1,2019
Tablets,25327.68,21905.02,AUT,Europa,Austria,T1,2019
TV,15744.23,9913.04,AUT,Europa,Austria,T1,2019
Accesorios,33098.74,29501.05,BEL,Europa,Bélgica,T1,2019
Aplicaciones,60964.96,35562.89,BEL,Europa,Bélgica,T1,2019
